,Date,Open,High,Low,Close,Volume
0,2019-01-01 00:00:00,131.45000000,132.22000000,131.01000000,131.82000000,12677.96176000
1,2019-01-01 01:00:00,131.83000000,131.88000000,131.00000000,131.14000000,9541.84565000
2,2019-01-01 02:00:00,131.19000000,131.34000000,130.00000000,130.72000000,12039.04136000
3,2019-01-01 03:00:00,130.72000000,131.47000000,130.71000000,131.32000000,6320.30743000
4,2019-01-01 04:00:00,131.31000000,134.00000000,131.30000000,132.35000000,29214.64195000
5,2019-01-01 05:00:00,132.37000000,132.98000000,132.37000000,132.75000000,6738.65777000
6,2019-01-01 06:00:00,132.74000000,133.50000000,132.67000000,133.36000000,6204.28401000
7,2019-01-01 07:00:00,133.36000000,134.30000000,133.01000000,133.56000000,10214.95098000
8,2019-01-01 08:00:00,133.56000000,135.30000000,133.19000000,134.52000000,16342.20664000
9,2019-01-01 09:00:00,134.55000000,134.78000000,133.55000000,133.70000000,14895.35710000
10,2019-01-01 10:00:00,133.72000000,134.14000000,133.66000000,133.86000000,6388.10191000
11,2019-01-01 11:00:00,133.89000000,134.70000000,133.71000000,133.75000000,6651.35501000
12,2019-01-01 12:00:00,133.78000000,134.76000000,133.17000000,134.48000000,11418.68868000
13,2019-01-01 13:00:00,134.48000000,136.00000000,133.87000000,134.54000000,12634.38176000
14,2019-01-01 14:00:00,134.43000000,134.51000000,132.95000000,133.57000000,13344.36318000
15,2019-01-01 15:00:00,133.52000000,133.73000000,132.26000000,132.98000000,15723.74805000
16,2019-01-01 16:00:00,132.97000000,133.31000000,132.50000000,133.29000000,5547.57941000
17,2019-01-01 17:00:00,133.29000000,133.60000000,132.52000000,132.58000000,5271.94755000
18,2019-01-01 18:00:00,132.56000000,132.65000000,131.00000000,132.04000000,14789.61709000
19,2019-01-01 19:00:00,132.04000000,135.58000000,132.04000000,135.27000000,25553.45267000
20,2019-01-01 20:00:00,135.26000000,139.48000000,135.16000000,137.95000000,67055.85959000
21,2019-01-01 21:00:00,137.95000000,139.02000000,137.00000000,137.06000000,29727.81932000
22,2019-01-01 22:00:00,137.05000000,137.97000000,136.21000000,137.63000000,18585.43636000
23,2019-01-01 23:00:00,137.64000000,140.67000000,136.71000000,139.10000000,44895.28274000
24,2019-01-02 00:00:00,139.10000000,140.00000000,138.07000000,138.92000000,33866.97867000
25,2019-01-02 01:00:00,138.92000000,140.00000000,137.76000000,138.04000000,16295.35700000
26,2019-01-02 02:00:00,138.02000000,138.75000000,137.79000000,138.59000000,12044.92321000
